2018-07-02 11:15:53,351 SmartHome2 user:unknown [main] INFO  se.home.SmarthomeApplication - Starting SmarthomeApplication on Niklas-Wiken.local with PID 21441 (/Users/niklas.wiken/Repos/smarthome/target/classes started by niklas.wiken in /Users/niklas.wiken/Repos/smarthome)
2018-07-02 11:15:53,353 SmartHome2 user:unknown [main] INFO  se.home.SmarthomeApplication - No active profile set, falling back to default profiles: default
2018-07-02 11:15:53,479 SmartHome2 user:unknown [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@3b77a04f: startup date [Mon Jul 02 11:15:53 CEST 2018]; root of context hierarchy
2018-07-02 11:15:56,327 SmartHome2 user:unknown [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$4fb78893] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-07-02 11:15:56,440 SmartHome2 user:unknown [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$894bca65] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-07-02 11:15:56,803 SmartHome2 user:unknown [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2018-07-02 11:15:56,821 SmartHome2 user:unknown [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2018-07-02 11:15:56,832 SmartHome2 user:unknown [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2018-07-02 11:15:56,832 SmartHome2 user:unknown [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.29
2018-07-02 11:15:56,842 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/niklas.wiken/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2018-07-02 11:15:57,038 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-07-02 11:15:57,038 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3562 ms
2018-07-02 11:15:58,182 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2018-07-02 11:15:58,184 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet webServlet mapped to [/h2/*]
2018-07-02 11:15:58,186 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-07-02 11:15:58,187 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-07-02 11:15:58,187 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-07-02 11:15:58,187 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2018-07-02 11:15:58,187 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpTraceFilter' to: [/*]
2018-07-02 11:15:58,187 SmartHome2 user:unknown [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webMvcMetricsFilter' to: [/*]
2018-07-02 11:15:58,375 SmartHome2 user:unknown [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2018-07-02 11:15:58,656 SmartHome2 user:unknown [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2018-07-02 11:15:58,958 SmartHome2 user:unknown [main] INFO  liquibase - Successfully acquired change log lock
2018-07-02 11:15:59,714 SmartHome2 user:unknown [main] INFO  liquibase - Creating database history table with name: PUBLIC.DATABASECHANGELOG
2018-07-02 11:15:59,721 SmartHome2 user:unknown [main] INFO  liquibase - Reading from PUBLIC.DATABASECHANGELOG
2018-07-02 11:15:59,743 SmartHome2 user:unknown [main] INFO  liquibase - classpath:/db/changelog/db.changelog-master.yaml: classpath:/db/changelog/db.changelog-master.yaml::1::niklaswiken: Table person created
2018-07-02 11:15:59,743 SmartHome2 user:unknown [main] INFO  liquibase - classpath:/db/changelog/db.changelog-master.yaml: classpath:/db/changelog/db.changelog-master.yaml::1::niklaswiken: ChangeSet classpath:/db/changelog/db.changelog-master.yaml::1::niklaswiken ran successfully in 5ms
2018-07-02 11:15:59,765 SmartHome2 user:unknown [main] INFO  liquibase - classpath:/db/changelog/db.changelog-master.yaml: classpath:/db/changelog/db.changelog-master.yaml::2::niklaswiken: New row inserted into person
2018-07-02 11:15:59,766 SmartHome2 user:unknown [main] INFO  liquibase - classpath:/db/changelog/db.changelog-master.yaml: classpath:/db/changelog/db.changelog-master.yaml::2::niklaswiken: New row inserted into person
2018-07-02 11:15:59,767 SmartHome2 user:unknown [main] INFO  liquibase - classpath:/db/changelog/db.changelog-master.yaml: classpath:/db/changelog/db.changelog-master.yaml::2::niklaswiken: ChangeSet classpath:/db/changelog/db.changelog-master.yaml::2::niklaswiken ran successfully in 8ms
2018-07-02 11:15:59,769 SmartHome2 user:unknown [main] INFO  liquibase - Successfully released change log lock
2018-07-02 11:15:59,882 SmartHome2 user:unknown [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2018-07-02 11:15:59,903 SmartHome2 user:unknown [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-07-02 11:16:00,005 SmartHome2 user:unknown [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.2.16.Final}
2018-07-02 11:16:00,006 SmartHome2 user:unknown [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-07-02 11:16:00,051 SmartHome2 user:unknown [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-07-02 11:16:00,218 SmartHome2 user:unknown [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2018-07-02 11:16:00,991 SmartHome2 user:unknown [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
